userId,topic,cluster
211b0520-f0e1-7015-0094-4310c79ba2e6,a3,3
c11b3500-c051-70c9-5385-6797f6c08070,a5,2
313b9520-e021-70f9-4924-88d88686726c,a5,8
511bf560-b061-7030-1534-373d6182148d,a4,2
61bb4560-e0e1-70b5-d308-ad58511a0fc5,a7,8
611bf540-9091-708a-926e-51ff59cf9473,a2,0
c17be530-0011-7066-b860-92d133614a57,a4,2
218ba540-4081-70eb-5d75-b3fa54f82268,a1,3
91cb75e0-00e1-70ae-d581-d5924359d3b1,a2,4
310bd5d0-6061-7098-d41e-41b982248427,a4,8
311bb5b0-8031-704a-d26b-1a35da2044f9,a4,0
71cb5540-20c1-70a9-1806-fbc6af5f0b86,a6,6
115ba5a0-f021-7098-63b7-6750e7705b72,a1,4
714b9540-8061-70d8-daaa-8a4b42d4dd71,a4,0
c17be530-0011-7066-b860-92d133614a57,a2,4
011bb520-7041-704f-b3e7-ab5c43dd3950,a1,2
41fb4560-10f1-7016-b8cc-cd2bc89239b7,a5,0
a15b55c0-6081-70cd-a61b-afbdaf0eff13,a6,4
a15bd5a0-20b1-705d-cacd-efb43606a358,a4,8
a18b2540-90e1-70f8-deb6-fc59ae3297da,a7,2
a1bbb550-8001-709c-3ebb-799cd4aa893f,a3,6
91bbe500-b011-7005-c471-0da2f8815108,a7,3
019be580-4061-7075-debb-ffd77dc8ca40,a7,8
d1db45a0-f051-702b-f627-c33637d4528c,a4,5
f1abb5c0-3001-7042-a4b5-d6561c36322c,a3,3
f1abd540-a0f1-70c2-5c22-206895f355ca,a7,5
a15b55c0-6081-70cd-a61b-afbdaf0eff13,a1,3
e1cb8510-60e1-709a-53ce-18a04547e565,a7,0
f11bd590-d0f1-70a8-f80a-d8522e3d0cd6,a5,5
31cb6500-d081-7067-9d22-37992452f2ad,a3,5
017bc500-50b1-70d6-f73f-a218553355df,a3,3
011bd560-70e1-7036-62a9-3d29afd5179d,a4,6
410b95f0-5061-701c-4a3c-9930963ae77f,a3,0
017bc500-50b1-70d6-f73f-a218553355df,a4,5
f17ba530-1081-709f-a59d-3f05cc7fb431,a7,5
014b6540-3041-705c-365b-d2029fb91b21,a2,3
f15b75b0-6011-7034-bf08-1dd66fe5cffa,a1,3
014b6540-3041-705c-365b-d2029fb91b21,a5,3
411bd580-f051-7091-c64b-39f944fda7b6,a2,4
11cb0520-80d1-70f1-831e-2d3d54b32de3,a5,5
a13b5500-0021-7047-dba8-89607721af5d,a2,0
919be590-7081-7003-3cef-906e621826ff,a2,5
c1ab6550-a0a1-7068-381c-46a9e01d4df5,a3,0
711b6580-50d1-70c7-2c33-364aab9519a1,a4,5
116b0520-f0b1-70d5-0575-61162dd862fd,a2,5
613b1510-4051-7027-1ee2-8f2c72d3c64b,a7,2
71fb0550-10e1-7086-a384-f22bf12dee89,a3,5
11cb7520-40f1-70ca-46b8-915a77bae7de,a3,4
51abb5c0-8061-70ad-a2f4-55de1f7ca8e9,a3,0
71cb5540-20c1-70a9-1806-fbc6af5f0b86,a7,6
51abb5c0-8061-70ad-a2f4-55de1f7ca8e9,a4,2
d17b4550-a0d1-7014-38bf-d8d68777c4f4,a2,0
919be590-7081-7003-3cef-906e621826ff,a4,3
81eb45d0-00d1-7089-fd06-0ffbbe5e2c7a,a2,0
31db5580-10e1-70d5-9f5c-004b166ac03c,a2,5
71ab5570-8001-709a-1343-b36f475fb202,a3,4
911b1530-f081-70c6-8ba9-81ba9defa173,a5,2
a10bd580-0091-709a-49e7-6e9c96ea58c6,a1,5
c1ab8590-4021-709d-24e8-65c1ff2dac53,a2,0
511bf560-b061-7030-1534-373d6182148d,a7,8
11cb0520-80d1-70f1-831e-2d3d54b32de3,a6,0
817b9500-8071-700f-6d35-00db749ffca6,a5,3
811bc590-9011-705e-82d7-38a6c705a6c4,a7,2
c10ba560-5051-7080-335e-1e8aaac1f227,a2,5
014b6540-3041-705c-365b-d2029fb91b21,a6,5
011bb520-7041-704f-b3e7-ab5c43dd3950,a6,8
116b0520-f0b1-70d5-0575-61162dd862fd,a3,8
a1eba540-c0b1-7047-0613-98a1815ad2ae,a2,0
01cbf550-9041-70f1-3bbe-92176ffa992e,a3,2
113bc5a0-00c1-70a8-1558-53c8f78b1a99,a1,4
d1db45a0-f051-702b-f627-c33637d4528c,a7,6
e14bd5c0-2091-70a1-3e0d-252a10bc1372,a2,0
01ebf5c0-7001-7089-68b3-ebba941641c4,a2,0
61abe5e0-d021-7066-78e5-8732da2c09a0,a2,0
a1eb05a0-7031-707b-b065-0f30c86f0a6e,a3,5
112b5570-40c1-70f5-ada6-8cd2d2eb5007,a4,8
c17bf5d0-5091-70a9-0d1d-8fbc31f9c224,a4,4
516b7570-00e1-700e-b368-e544714cb230,a4,2
81eb45d0-00d1-7089-fd06-0ffbbe5e2c7a,a5,2
313b35f0-a0f1-70ff-7490-f9e5e8fea858,a3,8
11cb7520-40f1-70ca-46b8-915a77bae7de,a2,4
11cb7520-40f1-70ca-46b8-915a77bae7de,a6,5
01eb9580-3071-70a9-01aa-f63e5dd14609,a7,2
31fbe520-0061-70e7-7783-8fdc38bd09fd,a4,2
21fb65c0-a0d1-7058-ae17-4b20090157aa,a2,0
21fb2560-d0c1-70cc-8456-cb80cc078b11,a4,0
d17b4550-a0d1-7014-38bf-d8d68777c4f4,a3,0
31ab1560-b091-7055-7307-da7f622a0e6b,a3,2
218b1530-20e1-701a-ba31-9c86c7da05bc,a2,3
91ab25a0-f051-70ce-9d29-ac0649a68c53,a6,5
a15bd5a0-20b1-705d-cacd-efb43606a358,a3,4
91ab25a0-f051-70ce-9d29-ac0649a68c53,a5,4
911b1530-f081-70c6-8ba9-81ba9defa173,a1,4
714b9540-8061-70d8-daaa-8a4b42d4dd71,a5,8
b1bbe550-6071-708d-a4b6-8d280dff01d0,a5,0
91fb2530-b051-70f2-9bbb-1733c381bfbc,a7,8
11cb7520-40f1-70ca-46b8-915a77bae7de,a4,0
819b2520-80d1-7040-a2e8-a74594524790,a5,3
714b9540-8061-70d8-daaa-8a4b42d4dd71,a3,2
119b55f0-6001-70b7-9cf8-aff7a0dc1623,a7,5
b1abe580-4091-7066-5da1-2ce6aa6d0e3b,a1,8
819b2520-80d1-7040-a2e8-a74594524790,a4,0
21fb65c0-a0d1-7058-ae17-4b20090157aa,a7,8
91cb75e0-00e1-70ae-d581-d5924359d3b1,a3,4
b1abe580-4091-7066-5da1-2ce6aa6d0e3b,a3,2
41fb4560-10f1-7016-b8cc-cd2bc89239b7,a1,2
919be590-7081-7003-3cef-906e621826ff,a3,8
218be570-f0f1-7033-b8df-1466adc57225,a1,5
a1dba540-c071-705a-e705-3f35ce26988f,a4,4
a18b2540-90e1-70f8-deb6-fc59ae3297da,a5,2
919b25a0-0071-7022-b6bb-2716eefd7953,a7,6
210bd5c0-70d1-7070-b076-8b8ae197fb56,a5,2
81cbb5e0-9011-7077-7e4e-7aca1564666c,a7,2
219b2590-e041-704c-6a88-f3a3366c6cc5,a7,8
91bbd550-f0a1-7047-142d-6aeab04713b1,a4,2
e1fbb500-50c1-7067-3f5b-f2a306231361,a4,6
f15b75b0-6011-7034-bf08-1dd66fe5cffa,a3,3
511bf560-b061-7030-1534-373d6182148d,a5,8
017bc500-50b1-70d6-f73f-a218553355df,a7,5
510b5580-60e1-7095-f35a-7fd78cd92cfe,a5,0
41eb6500-1081-7006-138f-298c1f0f89f5,a6,3
e17b7530-3021-70d1-5891-3515d4c26ec6,a2,5
b1cb6570-80d1-70d6-b914-60bf3a31e5c7,a3,0
f11bc560-6081-70ae-2949-07ca788f237b,a3,0
719b2530-2001-7002-244b-0c90ec1dc48d,a6,0
d17b4550-a0d1-7014-38bf-d8d68777c4f4,a6,0
014b6540-3041-705c-365b-d2029fb91b21,a4,6
31fbe520-0061-70e7-7783-8fdc38bd09fd,a3,0
b14ba500-e041-701b-eba7-204e26a8a5b7,a4,6
011bb520-7041-704f-b3e7-ab5c43dd3950,a4,2
b19ba550-c0d1-706b-5b31-6f30f3eaa255,a5,6
f1cbc5b0-a0b1-7062-ca17-580f39de4c83,a4,4
115ba5a0-f021-7098-63b7-6750e7705b72,a5,2
91cb75e0-00e1-70ae-d581-d5924359d3b1,a4,8
510b5580-60e1-7095-f35a-7fd78cd92cfe,a3,3
81eb45d0-00d1-7089-fd06-0ffbbe5e2c7a,a3,4
a1bbb550-8001-709c-3ebb-799cd4aa893f,a2,5
812b15e0-7001-7072-351b-af5182106bba,a2,4
f1cba540-a0d1-70b2-f94d-ddac74add408,a4,5
e17b7530-3021-70d1-5891-3515d4c26ec6,a1,5
510b5580-60e1-7095-f35a-7fd78cd92cfe,a2,0
91cb75e0-00e1-70ae-d581-d5924359d3b1,a5,5
41eb6500-1081-7006-138f-298c1f0f89f5,a4,0
e1cb9560-4091-706e-840f-87a913394f9e,a6,3
e1cb9560-4091-706e-840f-87a913394f9e,a7,2
c17be530-0011-7066-b860-92d133614a57,a5,2
f11bd590-d0f1-70a8-f80a-d8522e3d0cd6,a6,2
514b6590-9031-70f3-bdf0-6fb6ff753346,a7,3
311bb5b0-8031-704a-d26b-1a35da2044f9,a2,0
