cluster,from,to,count,prop_from
8,Action-directive,Action-directive,21,0.1533
8,Rhetorical-Question,Wh-Question,19,0.1959
8,Open-Question,Statement-non-opinion,18,0.375
8,Action-directive,Wh-Question,18,0.1314
8,Action-directive,Yes-No-Question,18,0.1314
8,Statement-non-opinion,Statement-opinion,18,0.0211
8,Quotation,Statement-non-opinion,17,0.4595
8,Wh-Question,Action-directive,16,0.0664
8,Rhetorical-Question,Rhetorical-Question,13,0.134
8,Open-Question,Wh-Question,13,0.2708
9,Statement-non-opinion,Action-directive,32,0.6667
9,Statement-non-opinion,Statement-non-opinion,16,0.3333
9,Action-directive,Statement-non-opinion,14,0.9333
9,Yes-No-Question,Yes-No-Question,4,0.6667
9,Wh-Question,Rhetorical-Question,2,0.5
9,Yes-No-Question,Statement-non-opinion,2,0.3333
9,Rhetorical-Question,Yes-No-Question,1,0.5
9,Wh-Question,Wh-Question,1,0.25
9,Rhetorical-Question,Wh-Question,1,0.5
9,Wh-Question,Statement-non-opinion,1,0.25
9,Conventional-opening,Wh-Question,1,0.5
9,Conventional-opening,Quotation,1,0.5
9,Quotation,Statement-non-opinion,1,1.0
9,Action-directive,Appreciation,1,0.0667
