from_cluster,to_cluster,count,from_topic,to_topic
2.0,6.0,2,a4,a5
9.0,4.0,2,a4,a5
4.0,1.0,2,a4,a5
9.0,2.0,1,a4,a5
4.0,6.0,1,a4,a5
8.0,6.0,1,a4,a5
1.0,7.0,1,a4,a5
1.0,8.0,1,a4,a5
8.0,2.0,1,a4,a5
7.0,2.0,1,a4,a5
2.0,0.0,1,a4,a5
4.0,9.0,1,a4,a5
3.0,8.0,1,a4,a5
2.0,5.0,1,a4,a5
4.0,5.0,1,a4,a5
2.0,8.0,1,a4,a5
5.0,6.0,1,a4,a5
3.0,1.0,1,a4,a5
3.0,3.0,1,a4,a5
5.0,3.0,1,a4,a5
3.0,6.0,1,a4,a5
6.0,4.0,1,a4,a5
5.0,5.0,6,a5,a6
2.0,0.0,5,a5,a6
2.0,1.0,5,a5,a6
4.0,0.0,5,a5,a6
4.0,5.0,4,a5,a6
4.0,4.0,4,a5,a6
2.0,2.0,4,a5,a6
0.0,0.0,3,a5,a6
8.0,4.0,3,a5,a6
5.0,2.0,3,a5,a6
8.0,3.0,3,a5,a6
3.0,5.0,3,a5,a6
2.0,6.0,3,a5,a6
0.0,4.0,3,a5,a6
5.0,0.0,2,a5,a6
0.0,2.0,2,a5,a6
1.0,3.0,2,a5,a6
8.0,5.0,2,a5,a6
5.0,4.0,2,a5,a6
4.0,2.0,2,a5,a6
8.0,6.0,2,a5,a6
3.0,4.0,2,a5,a6
3.0,2.0,2,a5,a6
6.0,0.0,2,a5,a6
8.0,2.0,2,a5,a6
5.0,1.0,2,a5,a6
8.0,9.0,1,a5,a6
6.0,8.0,1,a5,a6
6.0,4.0,1,a5,a6
8.0,8.0,1,a5,a6
6.0,9.0,1,a5,a6
7.0,2.0,1,a5,a6
7.0,7.0,1,a5,a6
6.0,2.0,1,a5,a6
8.0,1.0,1,a5,a6
6.0,3.0,1,a5,a6
4.0,8.0,1,a5,a6
6.0,1.0,1,a5,a6
5.0,8.0,1,a5,a6
5.0,6.0,1,a5,a6
4.0,3.0,1,a5,a6
4.0,1.0,1,a5,a6
3.0,8.0,1,a5,a6
3.0,1.0,1,a5,a6
3.0,0.0,1,a5,a6
2.0,8.0,1,a5,a6
2.0,7.0,1,a5,a6
2.0,4.0,1,a5,a6
2.0,3.0,1,a5,a6
1.0,4.0,1,a5,a6
1.0,0.0,1,a5,a6
9.0,6.0,1,a5,a6
4.0,5.0,9,a6,a7
5.0,2.0,6,a6,a7
2.0,4.0,4,a6,a7
0.0,8.0,4,a6,a7
3.0,2.0,3,a6,a7
5.0,4.0,3,a6,a7
0.0,5.0,3,a6,a7
4.0,4.0,2,a6,a7
4.0,2.0,2,a6,a7
2.0,2.0,2,a6,a7
0.0,1.0,2,a6,a7
5.0,5.0,2,a6,a7
5.0,6.0,2,a6,a7
3.0,3.0,2,a6,a7
4.0,8.0,2,a6,a7
5.0,8.0,2,a6,a7
2.0,5.0,2,a6,a7
0.0,0.0,2,a6,a7
5.0,0.0,2,a6,a7
8.0,0.0,2,a6,a7
2.0,0.0,2,a6,a7
6.0,5.0,2,a6,a7
1.0,5.0,2,a6,a7
1.0,1.0,2,a6,a7
5.0,1.0,1,a6,a7
8.0,8.0,1,a6,a7
8.0,6.0,1,a6,a7
8.0,4.0,1,a6,a7
8.0,2.0,1,a6,a7
7.0,8.0,1,a6,a7
7.0,9.0,1,a6,a7
6.0,3.0,1,a6,a7
7.0,2.0,1,a6,a7
6.0,8.0,1,a6,a7
6.0,6.0,1,a6,a7
6.0,4.0,1,a6,a7
4.0,0.0,1,a6,a7
4.0,6.0,1,a6,a7
1.0,3.0,1,a6,a7
0.0,2.0,1,a6,a7
0.0,3.0,1,a6,a7
0.0,4.0,1,a6,a7
0.0,6.0,1,a6,a7
0.0,7.0,1,a6,a7
0.0,9.0,1,a6,a7
1.0,2.0,1,a6,a7
1.0,4.0,1,a6,a7
4.0,1.0,1,a6,a7
1.0,6.0,1,a6,a7
1.0,9.0,1,a6,a7
2.0,1.0,1,a6,a7
2.0,3.0,1,a6,a7
2.0,8.0,1,a6,a7
3.0,4.0,1,a6,a7
3.0,5.0,1,a6,a7
9.0,5.0,1,a6,a7
